orderHash,subaccountId,marketId,tradeExecutionType,payout,fee,feeRecipient,tradeId,executionSide,isLiquidation,cid,tradeDirection,executionPrice,executionQuantity,executionMargin,Original_Time,eth_address
0x89ee174710df8c64440d714d5ca8775ade2fc7ab439bceeeeb4a111ee2089e48,0x58063d3c0f4fd7daee91e0a7a6866bfc07535352000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,0.0,29070.0,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63778981_0,taker,False,,buy,9000000.0,3.4,10641176.4,1711039932966,inj1tqrr60q0flta4m53uzn6dpntlsr4x56j32pytf
0x43644ab1e13733e31c4d3b1a142f23d732718ef81ed2126931734a1ac538bc79,0xd1c6263eb048d1f49f47cb219c49a2854ee5a823000000000000000000000002,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,15296878.706227146,-3059.66,inj168rzv04sfrglf868evsecjdzs48wt2pruycrwq,63779078_1,maker,False,,buy,8999000.0,3.4,10198866.666666666,1711040042940,inj168rzv04sfrglf868evsecjdzs48wt2pruycrwq
0x08bbf13d00ddb2a3ec51496764d7920a51087d1a4b69ab3327139b32c9ad97d3,0x58063d3c0f4fd7daee91e0a7a6866bfc07535352000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,10608709.63,29066.77,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63779078_0,taker,False,,sell,8999000.0,3.4,0.0,1711040042940,inj1tqrr60q0flta4m53uzn6dpntlsr4x56j32pytf
0x0c2773a010f8d398523b2b3e07e3a122eea465045df794613d55a879856b01ee,0x31307ef22c77cc89cd7e61246608f15b82d09fed000000000000000000000002,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,0.0,-1944.0,inj1q5vx233dm8sgg2mndglmgmzvr8qpcqpp04rus2,63780145_1,maker,False,65deaed5-1daa-44e2-be97-9bf2d19621a2,sell,9000000.0,3.6,12960000.0,1711041205721,inj1xyc8au3vwlxgnnt7vyjxvz83twpdp8lde3qmkg
0x9f590c67d2696e4bc5357bb0c720dcfad8e53d6e695b54c970847a8034fda766,0x341282a9621f01131750207a828acd771840674a000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,0.0,30780.0,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63780145_0,taker,False,,buy,9000000.0,3.6,10926845.6,1711041205721,inj1xsfg92tzruq3x96sypag9zkdwuvyqe62eec8pw
0xb4e9ac28e11fed75458178974f5af8b4b1620255afc886956bb0456a69b7a0a8,0x341282a9621f01131750207a828acd771840674a000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,10892469.02,30776.58,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63780193_0,taker,False,,sell,8999000.0,3.6,0.0,1711041259382,inj1xsfg92tzruq3x96sypag9zkdwuvyqe62eec8pw
0x43644ab1e13733e31c4d3b1a142f23d732718ef81ed2126931734a1ac538bc79,0xd1c6263eb048d1f49f47cb219c49a2854ee5a823000000000000000000000002,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,16196853.230863508,-3239.64,inj168rzv04sfrglf868evsecjdzs48wt2pruycrwq,63780193_1,maker,False,,buy,8999000.0,3.6,10798800.0,1711041259382,inj168rzv04sfrglf868evsecjdzs48wt2pruycrwq
0x0c2773a010f8d398523b2b3e07e3a122eea465045df794613d55a879856b01ee,0x31307ef22c77cc89cd7e61246608f15b82d09fed000000000000000000000002,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,0.0,-3618.0,inj1q5vx233dm8sgg2mndglmgmzvr8qpcqpp04rus2,63781443_1,maker,False,65deaed5-1daa-44e2-be97-9bf2d19621a2,sell,9000000.0,6.7,24120000.0,1711042712876,inj1xyc8au3vwlxgnnt7vyjxvz83twpdp8lde3qmkg
0x39314a6cc3ffc270154b712af940a60e902049759599d84ded54b5db39e6f897,0xa70a5928e5e7afda4e9e286e015444b8848c5d97000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,0.0,57285.0,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63781443_0,taker,False,,buy,9000000.0,6.7,20753938.3,1711042712876,inj15u99j289u7ha5n579phqz4zyhzzgchvh5c82wj
0x4f1174f4025d6b9c5db129b81791564260789a4c0078978168295cbc497b80fe,0xadbce46487a056a56b8819600add44efbd599d57000000000000000000000001,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,0.0,-6029.33,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf,63781546_1,maker,False,,buy,8999000.0,6.7,60317585.30183727,1711042849886,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf
0xca8e396a702e7e1782296babb84a767bf33e93dcf3f49e5cb4be314854d11b4d,0xa70a5928e5e7afda4e9e286e015444b8848c5d97000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,20689959.665,57278.635,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63781546_0,taker,False,,sell,8999000.0,6.7,0.0,1711042849886,inj15u99j289u7ha5n579phqz4zyhzzgchvh5c82wj
0x0c2773a010f8d398523b2b3e07e3a122eea465045df794613d55a879856b01ee,0x31307ef22c77cc89cd7e61246608f15b82d09fed000000000000000000000002,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,0.0,-3618.0,inj1q5vx233dm8sgg2mndglmgmzvr8qpcqpp04rus2,63782310_1,maker,False,65deaed5-1daa-44e2-be97-9bf2d19621a2,sell,9000000.0,6.7,24120000.0,1711043814379,inj1xyc8au3vwlxgnnt7vyjxvz83twpdp8lde3qmkg
0x75e804d1f7031ac414a7cbb638a8cfd7a56a9463585c9cc9b4392e3162a0eca8,0x4a6800f8e5bb115d2eb2403758ef223cc1ca8dfd000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,0.0,57285.0,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63782310_0,taker,False,,buy,9000000.0,6.7,20268060.2,1711043814379,inj1ff5qp789hvg46t4jgqm43mez8nqu4r0auge7vw
0x4f1174f4025d6b9c5db129b81791564260789a4c0078978168295cbc497b80fe,0xadbce46487a056a56b8819600add44efbd599d57000000000000000000000001,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,0.0,-6029.33,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf,63782354_1,maker,False,,buy,8999000.0,6.7,60317585.30183727,1711043862693,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf
0xb00575b6740b5c193e66345537bec96c5da1d47097af88ab56e0d4e923cc4ff3,0x4a6800f8e5bb115d2eb2403758ef223cc1ca8dfd000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,20204081.565,57278.635,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63782354_0,taker,False,,sell,8999000.0,6.7,0.0,1711043862693,inj1ff5qp789hvg46t4jgqm43mez8nqu4r0auge7vw
0x519f287e8bcb52e429e810982a3879f9e0b2f314e3de9be624ad66b662f2e364,0xadbce46487a056a56b8819600add44efbd599d57000000000000000000000001,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitMatchNewOrder,1152900523.3839114,1153671.8,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63811265_1,taker,False,,sell,8999000.0,128.2,0.0,1711075565994,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf
0x43644ab1e13733e31c4d3b1a142f23d732718ef81ed2126931734a1ac538bc79,0xd1c6263eb048d1f49f47cb219c49a2854ee5a823000000000000000000000002,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitMatchRestingOrder,576831956.807566,-115367.18,inj168rzv04sfrglf868evsecjdzs48wt2pruycrwq,63811265_0,maker,False,,buy,8999000.0,128.2,384557266.6666666,1711075565994,inj168rzv04sfrglf868evsecjdzs48wt2pruycrwq
0xcdfb3739ac165242df48a2ba3fb3b81a9026ff4966c1630a43ae5bbb6db72035,0x4616eb85f9db9266f6ee159dda2d86f0b5fc1e2f000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,0.0,291555.0,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63849241_4,taker,False,,buy,9000000.0,34.1,104909693.8,1711113093596,inj1gctwhp0emwfxdahwzkwa5tvx7z6lc830st2c5y
0x05a6281a01cffeff0597ef26516482197b4436753bd3b57f3a3e17137d2c9aea,0xadbce46487a056a56b8819600add44efbd599d57000000000000000000000001,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,0.0,-30690.0,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf,63849241_5,maker,False,,sell,9000000.0,34.1,306989501.31233597,1711113093596,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf
0x05a6281a01cffeff0597ef26516482197b4436753bd3b57f3a3e17137d2c9aea,0xadbce46487a056a56b8819600add44efbd599d57000000000000000000000001,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitMatchRestingOrder,0.0,-9450.0,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf,63849348_6,maker,False,,sell,9000000.0,10.5,94527559.05511811,1711113222021,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf
0x6b3024bad730585fccf392a756c71cc27a16cdbc7aedb44a4000005fdaa69282,0x4616eb85f9db9266f6ee159dda2d86f0b5fc1e2f000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitMatchNewOrder,0.0,89775.0,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63849348_7,taker,False,,buy,9000000.0,10.5,31500000.0,1711113222021,inj1gctwhp0emwfxdahwzkwa5tvx7z6lc830st2c5y
0x05a6281a01cffeff0597ef26516482197b4436753bd3b57f3a3e17137d2c9aea,0xadbce46487a056a56b8819600add44efbd599d57000000000000000000000001,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,0.0,-1260.0,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf,63849705_1,maker,False,,sell,9000000.0,1.4,12603674.540682415,1711113592745,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf
0x0429cb26764d1b36ffb261f68874825b2bac4466446781ff769ef391b57b69b0,0xd9175fb54802c28e63477b45e6d4a9884c6699b9000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,0.0,11970.0,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63849705_0,taker,False,,buy,9000000.0,1.4,4366551.7,1711113592745,inj1myt4ld2gqtpguc680dz7d49f3pxxdxdemfclaf
0xd3ae3c1cfc479d53cb90397e7f5662efc81c3683bf97334faddcc1de5a219391,0xadbce46487a056a56b8819600add44efbd599d57000000000000000000000001,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,12605074.540682415,-1259.86,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf,63849738_5,maker,False,,buy,8999000.0,1.4,12603674.540682415,1711113626165,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf
